Fold,Precision,Recall,F1-Score,Accuracy,ROC-AUC,PR-AUC
1,0.8233981510997769,0.64575,0.7238335435056747,0.7419143642791672,0.7902579048666484,0.7237928499099187
2,0.8302913864873519,0.64825,0.7280640179699566,0.7463663742307188,0.7885708001099807,0.70016980832477
3,0.8440784863349685,0.60225,0.7029471841260577,0.7333682556312205,0.7902871630913091,0.7080581990766268
4,0.8171446191797718,0.6625,0.7317409913019466,0.7455474070193818,0.7863513476347636,0.7132705929768581
5,0.8356489325652321,0.6165,0.7095381959430298,0.7355945521215296,0.7906111798679867,0.7221098698135207
