Fold,F1,Precision,Recall,AUC
1,0.9836,0.9677,0.9999,N/A
2,0.9891,0.9784,1.0,N/A
3,0.9911,0.9826,0.9999,N/A
4,0.9841,0.9688,1.0,N/A
5,0.9875,0.9755,0.9999,N/A
