Fold,Accuracy,Precision,Recall,F1-Score,AUC Train,AUC Test
1,0.9781782965542245,0.9785407725321889,0.9996068615107466,0.9889616463985033,0.9248523217551728,0.9221262554637473
2,0.9782439952599601,0.9786680959399705,0.9995396796170134,0.9889937823056062,0.9238168066756902,0.9231050639884536
3,0.9780979981361034,0.9785623628173927,0.9994998681244308,0.9889203052239881,0.9251626321816814,0.920433521770175
4,0.978068798711332,0.9785407516218066,0.9994924034695716,0.9889056158780295,0.9244156793332131,0.9242097022302255
