Fold,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,Accuracy
1,0.8403716216216216,0.621875,0.7147988505747126,0.7914529993124785,0.7267299707102259,0.740055655590113
2,0.822140692295422,0.64425,0.7224052141004976,0.7855400782055689,0.7051474761549953,0.7406449500736618
3,0.8231124561962408,0.6459375,0.7238408740719989,0.7893344562078922,0.7129282986771955,0.7418319910953971
4,0.8405400635368867,0.5953125,0.6969852187911607,0.789007523545992,0.7062583000007262,0.7288679368820795
5,0.8209197894084856,0.6626875,0.7333656107345414,0.7903619272480407,0.7093105268003678,0.7475937929679827
