Fold,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
1,0.9788876091138174,0.9788876091138174,1.0,0.9893311824335304,0.6124049677081904,0.987263509592441
2,0.9785893028368297,0.9785893028368297,1.0,0.9891788067728494,0.6174651325378588,0.9872635159438254
3,0.9786594635047592,0.9786594635047592,1.0,0.9892146491658343,0.619237353772897,0.9873362359612106
4,0.9789167192871676,0.9789167192871676,1.0,0.9893460495293471,0.6156945706136776,0.9873693603553229
5,0.9786419233377769,0.9786419233377769,1.0,0.9892056888058885,0.6097347005254146,0.9869841606469137
